Position	A1	A2	B1	B2
97	0	0	4.1	0
98	0	0	0	0
99	78.9	84.2	72	29
100	0	0	0	0
101	0	0	0	0
102	100	100	100	100
103	0	0	0	0
104	0	0	0	0
105	100	94.7	21.4	18.7
106	90.9	100	100	100
107	0	3.7	0	0
108	100	100	100	93.3
109	100	100	91.6	96.9
110	94.7	100	100	96
111	0	0	0	0
112	94.7	100	100	100
113	88	81.4	100	100
114	100	84.6	100	100
115	36.3	63.6	93.3	100
116	0	0	0	0
117	0	0	0	0
118	4.1	0	0	0
119	0	0	0	0
120	80	85.9	11.8	12.9
121	0	0	0	0
122	100	97.5	100	97.5
123	0	0	0	0
124	0	0	0	0
125	93.4	89.4	25.5	18.8
126	4.1	3.5	0	0
127	92.8	93.7	0	0
128	92.8	92.8	6.2	3.8
129	66.6	68.7	3.3	4.1
130	0	0	0	0
131	0	4.7	0	0
132	0	0	0	0
133	0	0	0	0
134	30.7	37.1	100	100
135	2.9	0	0	0
136	0	0	0	0
137	0	0	0	0
138	100	94.1	100	100
139	0	0	0	0
140	85.7	100	38	38.4
141	23.8	36.3	0	0
142	0	0	0	0
143	0	0	3	0
144	100	100	100	96.6
145	0	0	0	0
146	0	0	3.8	0
147	0	0	0	2.5
148	93.5	100	94.1	94.1
149	92.3	89.4	100	100
150	76.4	82.9	8.3	1.7
151	92.8	100	91.6	95
152	0	0	0	0
153	73.6	84.1	19	16.9
154	0	0	0	0
155	100	88.2	100	100
156	0	0	0	0
157	0	0	0	0
158	100	96.1	0	0
159	100	100	100	100
160	0	0	0	0
161	100	81.2	100	100
162	0	0	0	0
163	0	0	0	0
164	0	0	0	0
165	93.1	94.8	50	37.2
166	92.3	83.3	100	100
167	100	88.8	3.7	2.2
168	0	0	0	0
169	100	95.4	94.7	97.4
170	91.3	95.8	100	95.2
171	0	0	0	0
172	100	94.7	0	0
173	0	0	0	0
174	88.2	95.4	0	9.5
175	93.7	85.7	100	93.7
176	0	0	0	0
177	81.2	93.1	100	100
178	6.2	20	0	0
179	25	0	0	5.5
180	100	100	96.7	100
181	0	0	0	0
182	0	0	0	0
183	0	0	0	0
184	94.1	100	100	100
185	0	0	0	0
186	94.7	100	0	0
187	91.6	83.3	0	0
188	94.4	95.6	92.5	100
189	0	0	0	0
190	100	89.6	100	100
191	95	84.2	18.5	23
192	100	100	0	3.3
193	0	0	0	0
194	0	0	6.6	0
195	100	100	90.9	100
196	0	0	0	5.5
197	21.4	7.1	0	0
198	90.9	88.2	14.8	46.6
199	0	0	3	0
200	76.9	76.5	12.7	9.7
201	93.7	100	100	95
202	7.4	0	0	0
203	93.7	93.7	100	95.8
204	75	95	100	100
205	0	0	0	0
206	0	0	0	0
207	85	100	90	100
208	9.5	2.9	2.8	2.8
209	0	0	0	0
210	95.8	96.7	96.8	100
211	10	5.2	100	100
212	100	92.3	8.6	8.8
213	10.5	5.2	0	0
214	0	0	0	0
215	0	0	5.2	0
216	0	0	0	0
217	0	0	0	0
218	50	61.7	4.8	3.6
219	14.2	0	0	0
220	100	93.7	100	100
221	0	0	0	0
222	0	0	0	0
223	54.1	42.1	100	100
224	0	0	0	0
225	80.9	87.1	3.2	3
226	0	6.2	0	0
227	0	0	0	0
228	26	4.1	0	0
229	92.3	76.4	61.5	54.5
230	16.6	5.2	57.1	60
231	0	6.6	0	0
232	0	0	0	0
233	83.3	88.8	100	100
234	100	96	94.7	90.4
235	0	3.4	94.7	94.4
236	0	0	5.8	5.5
237	100	96	94.1	96.2
238	0	0	0	0
239	78.5	78.5	29.4	34.3
240	100	88.8	100	100
241	0	0	0	0
242	0	9.5	0	0
243	0	0	0	0
244	90.6	93.1	16.2	15.3
245	91.6	94.4	100	100
246	0	0	0	0
247	100	93.3	100	100
248	100	100	95.8	78.9
249	100	85.7	0	11.5
250	86.6	88.8	29.4	70
251	31.5	29.1	7.4	0
252	100	92.5	100	100
253	87.5	90.9	16.6	7.6
254	0	0	0	0
255	94.4	100	100	94.4
256	90.9	96.8	100	97
257	100	100	100	100
258	0	0	0	0
259	0	0	0	0
260	0	5.8	0	6.2
261	93.3	100	100	95.8
262	0	0	0	0
263	17.6	56.5	0	0
264	12	17.2	0	94.7
265	95.5	93.8	32	38.8
266	67.3	77.9	11.2	9
267	0	0	0	0
268	100	95.2	85.7	100
269	0	0	0	0
270	0	0	0	0
271	100	100	100	94.7
272	0	0	0	0
273	4.1	14.2	0	2.8
274	84.6	69.2	100	100
275	73.3	50	100	100
276	0	0	0	0
277	0	0	0	0
278	84.6	93.3	100	100
279	75.8	78.7	5.2	2
280	0	0	0	0
281	91.8	92.1	20.3	19.4
282	0	0	0	0
283	0	0	0	0
284	100	100	0	0
285	0	0	0	0
286	0	0	0	0
287	0	0	7.1	0
288	100	96	100	100
289	100	93.3	100	100
290	0	0	0	0
291	0	0	0	0
292	0	0	5	0
293	93.7	94.7	100	94.7
294	0	0	0	0
295	100	100	0	0
296	100	100	94.1	84.6
297	0	0	0	0
298	0	0	0	0
299	0	8.8	0	0
300	0	0	0	0
301	66.6	91.6	0	0
302	100	94.7	0	3.3
303	94	93.3	57.1	59.1
304	25	14.2	0	0
305	95.2	95.8	42.4	30.6
306	0	5.8	0	0
307	94.4	100	89.6	92.3
308	0	0	6.2	0
309	0	0	3.5	0
310	100	94.4	95	100
311	94.1	100	100	100
312	6.6	0	0	0
313	0	0	3.2	0
314	0	0	0	0
315	86.2	90.9	30.4	19.4
316	90.9	91.4	80	87.5
317	0	0	0	0
318	91.6	77.4	26	15
319	0	0	6.2	4.2
320	30	53.5	0	0
321	0	0	0	0
322	0	4.7	0	0
323	0	0	0	0
324	90.9	100	93.7	85.7
325	0	0	0	0
326	0	0	2.7	0
327	6.2	0	0	0
328	0	0	3.2	0
329	0	0	0	0
330	0	0	85	94.7
331	93.7	90.9	91.6	100
332	100	100	38.8	33.3
333	0	0	0	0
334	0	3.2	72	82.1
335	0	0	0	0
336	0	0	0	0
337	92.8	65.5	100	100
338	0	0	0	0
339	100	100	100	100
340	44.4	17.3	6.6	8.6
341	0	0	0	0
342	63.6	50	100	85.7
343	0	0	5.8	0
344	0	0	0	0
345	100	90.9	100	100
346	0	0	0	0
347	82.6	73.3	0	6.8
348	81.8	93.1	96.4	100
349	100	95.2	0	0
350	0	5	64.7	68.7
351	40	53.3	0	0
352	91.6	100	100	100
353	0	0	0	0
354	0	0	0	0
355	95.4	100	100	100
356	0	0	0	0
357	0	0	0	0
358	0	0	0	0
359	100	100	95.4	81.8
360	88.2	80	5.2	9.8
361	93.3	100	100	100
362	93.5	96.7	96.6	92.8
363	88.2	86.6	100	90
364	100	100	92.3	100
365	75	55	91.6	100
366	95.2	82.3	77.2	53.8
367	100	100	100	95.2
368	85.7	76.6	11.1	0
369	9.5	0	0	0
370	100	100	91.6	100
371	4.7	4.7	0	0
372	0	0	0	0
373	0	0	0	0
374	94.1	89.2	17.7	13.7
375	17.6	0	100	100
376	100	95.8	0	4.3
377	83.3	80	100	100
378	83.3	93.3	93.7	94.1
379	0	0	0	0
380	100	100	100	96.5
381	0	0	0	0
382	0	0	0	0
383	0	0	0	0
384	0	0	0	0
385	0	0	0	0
386	100	93.1	100	93.1
387	0	0	0	0
388	0	0	4.3	0
389	0	0	0	0
390	0	0	0	0
391	77.7	80	9.5	16.3
392	3.8	15	0	0
393	0	0	0	0
394	70.1	71.3	13.4	8.5
395	0	0	0	0
396	100	93.7	94.7	76.4
397	100	96.1	58.3	65.7
398	0	0	0	0
399	23.8	0	93.7	100
400	0	5.7	0	0
401	0	0	0	0
402	71.1	86.7	31.8	23.3
403	10	43.7	14.2	45.8
404	100	94.7	100	87.5
405	0	6.8	4	13.1
406	0	0	0	0
407	0	0	0	0
408	0	0	0	0
409	80	89.2	36	21
410	0	0	100	100
411	0	0	100	100
412	100	100	100	100
413	100	94.7	100	100
414	92.8	95.8	100	100
415	0	5	0	0
416	92.8	92.3	96.9	100
417	100	100	0	0
418	0	0	0	0
419	15.3	19	0	0
420	0	0	3.7	0
421	0	0	0	0
422	73.6	81.9	21.2	12.8
423	0	0	0	0
424	0	0	0	0
425	0	0	0	0
426	0	0	6.2	0
427	100	100	100	100
428	0	0	9	0
429	92.8	100	0	5.2
430	0	0	4.3	0
431	7.6	0	3.7	0
432	0	0	0	0
433	87.5	100	100	100
434	0	0	0	0
435	95.4	100	100	93.5
436	45	57.8	95.2	97
437	100	100	0	0
438	76.9	100	100	100
439	100	96.8	100	97.1
440	0	0	0	0
441	100	41.1	100	40
442	94.4	100	93.3	100
443	76.4	95	0	0
444	0	0	0	0
445	4.1	0	95	100
446	0	0	0	0
447	90.6	96.6	35	34.7
448	5.2	0	0	0
449	100	100	100	94.1
450	0	4.3	0	0
451	95.2	96.1	100	97.2
452	95.8	100	0	6.4
453	0	0	0	0
454	0	0	0	0
455	90.9	93.3	100	90.9
456	0	0	0	0
457	92.3	92.8	0	0
458	0	0	0	0
459	0	0	0	0
460	100	88.8	33.3	33.3
461	0	0	0	0
462	43.7	38.2	100	100
463	0	5.2	4	0
464	0	0	0	0
465	100	100	16.6	10.5
466	5.5	10.3	0	0
467	90	96.5	88.8	100
468	0	0	0	0
469	100	93.7	100	100
470	0	0	0	0
471	0	0	0	0
472	100	100	90.9	100
473	0	0	0	0
474	94.1	95.4	82.7	94.4
475	0	0	0	0
476	0	0	7.1	0
477	47.3	46.4	16	7.1
478	0	0	0	0
479	68.1	78.7	3.7	6.4
480	0	0	0	0
481	0	0	0	0
482	100	100	100	95
483	100	93.7	100	90
484	100	100	92.3	100
485	0	0	0	0
486	94.7	100	100	95
487	100	92.3	4.3	0
488	89.4	95.8	96.2	100
489	100	93.3	100	100
490	100	100	100	100
491	0	0	5.2	0
492	0	0	0	0
493	0	0	0	0
494	70	40	82.3	73.9
495	0	0	0	0
496	90.9	63.6	100	100
497	0	0	0	0
498	4.1	0	0	0
499	0	5.5	0	0
500	4.7	0	0	0
501	0	0	0	0
502	89.4	97.2	20.8	14.2
503	100	100	96.9	100
504	11.1	5.8	94.1	100
505	100	93.3	100	100
506	100	100	0	0
507	40	45.4	0	0
508	93.7	88.2	95.4	100
509	100	96.1	100	100
510	100	94.7	91.6	100
511	0	0	0	0
512	88.8	100	93.1	92.3
513	0	0	0	0
514	0	3.8	0	0
515	100	85.7	96.4	100
516	0	0	0	0
517	0	0	0	0
518	0	5	0	5.2
519	95	100	100	100
520	80	95.4	3.4	0
521	0	0	0	0
522	85.7	95.2	75	100
523	90	90.4	100	100
524	4.3	0	0	0
525	8.3	0	0	8.3
526	0	0	0	0
527	43.4	37.1	0	0
528	0	0	0	0
529	94.7	100	91.6	68.1
530	64.2	62.9	11.1	4.1
531	0	4.7	0	0
532	100	100	0	0
533	95.8	93.7	93.5	100
534	35.2	23.3	0	6
535	28.5	23.5	0	0
536	0	0	3.5	0
537	100	100	100	100
538	100	100	0	0
539	100	100	100	100
540	2.9	6.8	0	2.2
541	0	0	0	2.9
542	100	95.8	25	100
543	95.2	91.3	100	100
544	0	0	0	0
545	28.5	25	7.1	0
546	100	95.6	100	100
547	11.5	33.3	0	0
548	100	100	0	0
549	95.4	94.1	6.6	7.1
550	0	0	0	0
551	100	100	0	0
552	95	88.4	100	100
553	95.2	90	100	100
554	100	100	96.4	100
555	0	0	0	0
556	6.6	0	0	0
557	95.6	94.7	100	93.3
558	85	94.7	92.3	100
559	0	0	0	0
560	0	0	0	0
561	12.5	31.2	70.8	52.6
562	94.1	93.3	100	85.7
563	0	0	0	0
564	0	0	0	0
565	0	0	9	0
566	6.6	2.2	14.2	9.2
567	0	0	0	0
568	0	0	0	0
569	94.5	86.8	19.3	16.6
570	0	0	2.6	0
571	100	100	100	95
572	90.9	95.4	0	10.7
573	76.4	94.1	4.3	17.1
574	0	0	0	0
575	100	96.2	100	100
576	4.3	3	0	0
577	0	0	0	0
578	0	0	0	0
579	0	0	0	0
580	86.6	95	0	0
581	0	0	0	0
582	0	7.1	9	0
583	100	93.3	100	100
584	52.6	57.5	0	0
585	100	100	0	0
586	0	0	0	0
587	0	0	0	0
588	0	0	0	0
589	0	0	0	0
590	89.4	96.4	100	100
591	96	100	52.6	53.3
592	100	100	91.6	95
593	85.7	100	6.2	0
594	0	0	0	0
595	0	0	0	0
596	0	0	0	0
597	100	90.4	42.8	27.2
598	100	100	94.4	81.2
599	85.5	90.9	18.4	15
600	95.6	59	0	0
601	100	84.2	100	100
602	93.3	100	5.8	0
603	0	0	0	0
604	0	0	0	0
605	90.6	92.4	47.3	39.6
606	100	100	100	100
607	0	0	0	0
608	0	0	2.7	0
609	21.4	26.6	41.6	0
610	100	85.7	0	0
611	100	45	100	100
612	91.6	95.8	34.7	27.9
613	0	0	0	0
614	100	100	100	88.2
615	100	81.8	91.6	100
616	0	0	0	0
617	0	0	0	0
618	0	0	0	0
619	93.7	80	100	100
620	0	0	9	0
621	95.4	100	100	93.3
622	0	0	0	0
623	100	100	100	90
624	0	0	0	0
625	0	0	0	0
626	0	0	0	0
627	0	21.4	0	10
628	0	0	0	2.6
629	78.5	93.7	62.5	46.6
630	90.9	88.2	100	90
631	20	0	100	100
632	0	4	0	0
633	72.7	94.1	100	95
634	100	100	95.2	100
635	0	8.3	0	0
636	87.5	95	100	100
637	0	0	0	0
638	91.6	100	95	96.4
639	0	0	0	0
640	100	91.6	51.8	100
641	0	0	0	0
642	0	3.8	0	0
643	0	0	0	0
644	100	100	94.1	100
645	0	0	0	0
646	84.6	100	100	76.1
647	100	95.8	100	100
648	0	0	0	0
649	0	0	4.1	8.3
650	0	0	0	0
651	16.6	10.5	0	0
652	0	0	0	0
653	0	0	0	0
654	94.4	100	100	100
655	0	4	5	0
656	100	100	100	100
657	0	0	0	0
658	0	0	4.3	0
659	4.1	6.4	0	4.1
660	91.6	92.5	95.6	100
661	76.9	91.6	100	100
662	92.3	100	100	100
663	100	96.5	100	100
664	0	0	0	0
665	0	2.7	0	3.8
666	100	94.1	0	0
667	100	100	93.7	100
668	100	100	46.1	0
669	81.8	91.6	100	95.6
670	0	0	100	100
671	100	100	0	0
672	100	96.5	100	100
673	100	90.9	100	94.1
674	0	0	0	0
675	0	0	0	0
676	96.2	86.2	96.1	96.6
677	0	0	0	0
678	81.8	89.4	100	100
679	0	0	0	4.2
680	81.8	80	100	100
681	93.3	93.7	93.7	100
682	100	100	90	95.8
683	50	80.9	96.6	80.9
684	100	100	95.2	96.6
685	0	0	0	0
686	0	5.5	0	0
687	100	100	100	100
688	86.6	100	100	100
689	81.8	100	0	0
690	66.6	54.5	0	0
691	94.4	100	100	100
692	73.6	78.5	27.5	8.7
693	0	0	0	0
694	100	100	100	100
695	0	0	0	0
696	0	0	0	0
697	0	14.2	0	0
698	90	100	100	96.5
699	3.7	0	0	0
700	90	95.8	0	5.2
701	100	100	75	27.2
702	100	100	100	100
703	0	11.1	0	0
704	0	5.2	0	0
705	100	95.8	100	100
706	41.1	73.9	0	0
707	71.4	88.2	70	52.6
708	17.3	27.2	4.5	0
709	0	0	0	0
710	81.2	100	100	92.8
711	100	100	100	96.7
712	0	0	0	0
713	5.2	12.5	0	0
714	0	0	0	0
715	7.1	30	54.1	33.3
716	100	100	100	100
717	0	0	3	0
718	0	0	0	0
719	72.7	90.4	100	100
720	0	0	0	0
721	0	0	0	0
722	0	0	10	0
723	0	0	0	0
724	0	0	0	0
725	0	0	0	0
726	0	0	0	0
727	0	0	0	0
728	70.8	69.2	2.7	0
729	90	90.9	0	0
730	0	3.7	0	0
731	0	0	0	0
732	4.1	4.5	0	0
733	93.7	94.1	100	100
734	100	100	100	73.5
735	73.9	69.6	100	96.5
736	8.3	5.8	0	0
737	0	0	0	0
738	0	4.3	0	0
739	100	88.8	100	100
740	0	0	0	0
741	100	83.3	33.3	38.8
742	0	0	0	0
743	0	0	0	0
744	90.4	86.2	94.4	95.8
745	0	0	0	0
746	100	100	0	0
747	100	100	100	96.1
748	100	86.6	100	100
749	0	0	0	0
750	0	0	0	0
751	0	0	0	0
752	6.8	5.5	0	0
753	0	0	0	0
754	100	94.1	92	96.4
755	91.6	100	100	100
756	66.6	75	90.9	95.6
757	0	0	0	0
758	0	0	85.7	70.4
759	0	0	6.6	0
760	0	0	0	0
761	0	0	0	0
762	0	10.5	0	0
763	0	0	0	0
764	0	0	0	0
765	0	0	0	0
766	0	0	0	0
767	88.2	82.6	94.1	90.4
768	0	0	0	0
769	0	0	0	0
770	100	100	100	92.8
771	83.3	85.7	100	100
772	100	100	100	93.7
773	100	100	100	92.3
774	100	100	100	100
775	100	100	94.4	92.8
776	78.9	77.7	100	96.4
777	0	7.6	0	0
778	0	0	0	0
779	100	96.2	100	100
780	91.6	85	100	100
781	100	83.3	95	88.8
782	0	0	3.5	0
783	81.8	63.6	92.3	88.2
784	90.9	100	46.1	4.5
785	100	100	2.3	0
786	89.8	88.8	56.6	45.1
787	0	6.2	0	0
788	0	0	0	0
789	0	4.5	0	0
790	0	0	0	0
791	86.9	91.6	22.5	18
792	100	94.7	100	100
793	0	0	0	0
794	100	100	85.7	100
795	100	100	29.6	20
796	100	100	100	100
797	0	0	0	0
798	0	0	0	0
799	0	0	0	0
800	0	0	0	0
801	100	95.6	100	100
802	0	4.1	2.6	0
803	85	100	100	97.5
804	0	0	0	0
805	0	0	0	0
806	0	0	0	0
807	0	0	0	0
808	0	0	0	0
809	0	0	0	0
810	0	0	0	0
811	0	0	0	0
812	5.5	0	0	0
813	47.3	40.6	93.3	60
814	0	0	6.2	0
815	91.7	94.5	43.8	37.7
816	100	100	100	100
817	0	0	0	0
818	0	0	0	0
819	100	100	100	100
820	94.4	90	96.7	96.5
821	0	0	30	27.2
822	88	97.1	100	100
823	0	0	3.2	0
824	0	0	0	0
825	62.5	60.8	0	0
826	80.3	87.5	10.7	8.6
827	0	3.5	0	0
828	90.9	100	100	95.2
829	0	0	0	0
830	0	5.2	0	0
831	93.5	100	7.6	0
832	12.5	10.7	3.7	0
833	100	89.4	92.3	100
834	0	0	0	0
835	0	0	3.4	3.3
836	28.5	17.8	7.1	3.3
837	88.8	96.4	25.9	23.8
838	100	100	100	100
839	100	100	100	100
840	0	0	0	0
841	21.7	21.8	0	0
842	100	100	93.3	100
843	0	0	0	0
844	0	0	0	0
845	100	100	84.6	89.4
846	94.7	90.6	0	0
847	100	100	100	100
848	0	0	0	0
849	100	93.1	62	40
850	38.4	50	72.7	92.8
851	77.7	68.1	90.4	100
852	54.3	62.1	4.5	5.3
853	0	0	0	0
854	100	100	100	100
855	100	100	93.3	85.7
856	0	0	3.8	12
857	0	0	0	0
858	6.6	38.4	8.3	8.3
859	0	0	0	0
860	0	0	0	0
861	21	26.6	100	95
862	0	0	7.6	4.3
863	100	100	100	100
864	92.3	77.7	100	100
865	0	0	0	0
866	9	5	0	0
867	90.4	90.1	23.3	19.4
868	18.1	20	100	90
869	0	0	0	0
870	100	100	100	100
871	0	0	0	0
872	3.1	18.1	7.4	0
873	0	0	0	0
874	0	0	0	0
875	94.7	95	100	100
876	100	100	73.3	73.3
877	0	0	0	0
878	0	0	0	0
879	0	0	0	0
880	94.7	100	100	100
881	91.6	76	95.2	100
882	87.5	100	100	96.8
883	86.3	85.7	94.4	95.2
884	92.3	90	100	100
885	11.1	10.3	0	0
886	100	96.2	93.3	100
887	81.2	90	100	94.7
888	5	3.4	0	0
889	100	100	100	100
890	100	92.3	100	94.4
891	43.4	47.7	3.3	3.4
892	0	0	0	0
893	13.3	15.3	0	0
894	0	4.5	0	0
895	100	69.2	100	95.4
896	100	100	100	93.1
897	0	0	0	0
898	4.5	4.7	0	0
899	92.3	100	100	100
900	95.2	96.4	62.1	56.2
901	0	0	0	0
902	94.1	100	0	0
903	100	93.3	91.6	90
904	75	70	4.5	0
905	100	91.3	20	0
906	4.5	0	78.9	53.8
907	89.4	93.7	29.1	8.5
908	0	2.7	0	0
909	100	100	100	100
910	0	0	0	0
911	70	90.9	100	95
912	0	0	0	0
913	0	0	0	0
914	95.4	96	100	100
915	47.8	57.5	100	100
916	96.9	96.6	25.1	21.8
917	100	92.8	100	100
918	26.3	21.7	100	100
919	0	0	0	0
920	0	0	0	2.6
921	100	100	100	100
922	0	0	0	0
923	0	0	0	0
924	93.5	83.3	46.1	32.4
925	0	0	0	0
926	0	4.3	0	0
927	91.5	89.8	24.1	21.5
928	36.3	10	100	100
929	0	0	0	0
930	0	0	0	0
931	0	0	0	0
932	0	0	0	4.3
933	100	92.3	100	100
934	87.8	100	28.4	21.4
935	0	0	0	6.6
936	36.3	53.3	100	95
937	0	0	0	0
938	81.8	100	0	0
939	94.7	93.3	100	96.4
940	96.9	100	94.4	95
941	0	0	0	0
942	90	100	100	100
943	0	0	0	0
944	93.7	88.8	95.8	100
945	0	0	0	0
946	46.1	92.3	100	100
947	100	100	0	0
948	100	95.2	100	95.8
949	55	100	0	6.6
950	0	0	0	0
951	73.3	59.2	33.3	0
952	0	0	0	0
953	0	0	4.7	0
954	0	0	0	0
955	0	0	0	0
956	100	95.2	100	100
957	72.7	95.8	100	100
958	0	3.4	0	0
959	0	0	0	0
960	0	14.8	0	0
961	0	0	0	0
962	100	90	0	0
963	83.3	94.7	100	100
964	100	100	94.7	90.4
965	0	7.6	0	0
966	0	0	0	0
967	0	0	0	0
968	100	88.2	100	100
969	75	53.3	0	0
970	92.3	96	100	97.3
971	100	96.7	100	100
972	85	86.3	100	100
973	94.4	84.6	0	0
974	0	0	0	0
975	5	31.2	0	0
976	5.8	0	0	5
977	80	80	64	58.8
978	0	0	0	0
979	0	0	0	0
980	94.4	100	100	100
981	0	0	0	0
982	100	100	94.1	100
983	0	0	0	0
984	0	5.8	0	3.7
985	94.3	93.2	37.7	26.3
986	15.7	10.7	0	0
987	0	0	0	0
988	0	0	0	3.3
989	77.7	100	87.5	100
990	0	0	0	0
991	0	0	0	0
992	0	0	0	0
993	95	96.7	0	2
994	0	12.5	0	0
995	0	0	0	0
996	100	86.9	100	94.7
997	93.3	100	100	96
998	100	100	100	100
999	100	100	89.4	96.1
1000	100	93.3	100	91.6
1001	0	0	0	0
1002	0	0	0	0
1003	0	0	0	0
1004	0	0	0	0
1005	0	5	0	0
1006	0	0	0	0
1007	0	0	0	0
1008	5	0	5.2	0
1009	0	0	0	0
1010	5.8	0	0	0
1011	0	0	5.2	2.9
1012	0	0	0	0
1013	100	100	100	100
1014	0	0	0	0
1015	90	96	35.2	30.7
1016	85.4	96	27.4	21.4
1017	100	100	46.1	54.5
1018	0	0	3.4	0
1019	0	5	0	0
1020	0	0	0	0
1021	100	96.7	100	100
1022	100	100	100	100
1023	100	100	93.3	95
1024	100	50	100	90.9
1025	0	0	0	3.7
1026	0	0	0	0
1027	0	0	0	0
1028	0	0	0	0
1029	0	0	0	0
1030	100	100	92.8	100
1031	50	45.9	38	58
1032	0	0	0	0
1033	94.1	94.1	10.5	5
1034	0	0	0	0
1035	0	0	0	0
1036	0	0	0	0
1037	88.8	89.2	86.6	93.7
1038	0	0	0	0
1039	0	0	0	0
1040	100	95.2	100	100
1041	40	43.3	10	3.4
1042	13	15.1	100	96
1043	10	3.5	3.8	0
1044	0	0	0	0
1045	0	10.7	0	3.4
1046	87.5	94.7	13	0
1047	100	91.6	100	100
1048	57.8	59.1	4.2	1
1049	0	3.3	0	0
1050	0	0	0	0
1051	95	82.3	100	100
1052	100	95.2	72.2	45.4
1053	77.7	77.7	100	100
1054	0	0	0	0
1055	95.8	93.3	27.2	23.5
1056	97.5	92	12.6	14.3
1057	87.5	88.4	93.3	94.2
1058	93.3	100	100	100
1059	0	0	3.8	8
1060	0	0	0	0
1061	100	100	100	91.6
1062	90	100	100	100
1063	0	0	0	0
1064	100	90	95.4	100
1065	0	0	0	0
1066	94.7	100	50	58.3
1067	0	0	0	0
1068	0	0	0	0
1069	0	0	0	0
1070	100	100	100	100
1071	0	0	0	0
1072	72.2	83.3	100	100
1073	42.3	93.7	15.3	7.1
1074	0	0	0	0
1075	0	0	0	0
1076	86.6	100	100	94.4
1077	0	0	0	0
1078	82.6	47.8	100	100
1079	90.9	96	100	53.3
1080	100	100	100	100
1081	85.7	95.6	100	100
1082	0	0	0	0
1083	63.1	82.7	64	57.8
1084	0	0	0	0
1085	96.2	100	100	100
1086	0	5.8	0	0
1087	0	0	0	0
1088	0	0	0	0
1089	96.7	100	100	100
1090	0	4.7	0	0
1091	6.6	16	0	0
1092	0	0	0	0
1093	0	0	0	0
1094	0	0	0	0
1095	93.7	65	50	83.3
1096	100	96.5	100	100
1097	18.1	23.8	0	0
1098	100	100	95.6	100
1099	6.2	0	0	0
1100	0	0	0	0
1101	95	100	93.3	100
1102	70.5	73.9	7	7.6
1103	15	19.2	0	0
1104	0	0	0	0
1105	0	0	100	100
1106	60	37.9	0	0
1107	100	93.7	100	90.9
1108	0	0	0	0
1109	31.5	20.8	0	2.6
1110	0	0	0	0
1111	92.3	93.7	71.4	68.1
1112	100	100	100	100
1113	100	100	93.7	100
1114	89.4	81.2	100	91.6
1115	76.9	73.6	10.9	6.2
1116	0	7.4	92.3	100
1117	0	0	0	0
1118	0	0	0	0
1119	0	0	4.3	0
1120	0	0	0	0
1121	0	0	0	0
1122	87.6	76.2	23	20.6
1123	0	0	0	0
1124	0	0	0	0
1125	0	0	0	0
1126	100	100	94.4	100
1127	0	0	0	0
1128	0	11.7	0	0
1129	100	100	100	96.6
1130	66.6	76.3	5.3	5.9
1131	0	0	0	4.3
1132	100	81.8	95.2	92.3
